disease_name,url
"Amphibians, Infections from — see Reptiles and Amphibians",https://www.cdc.gov/healthy-pets/about/reptiles-and-amphibians.html
Amyotrophic Lateral Sclerosis (ALS),https://www.cdc.gov/als/index.html
Anaplasma phagocytophilumInfection — see Anaplasmosis,https://www.cdc.gov/anaplasmosis/
Anaplasmosis,https://www.cdc.gov/anaplasmosis/
AngiostrongylusInfection — see Rat Lungworm Disease,https://www.cdc.gov/angiostrongylus/about/index.html
"Animal Product Importation — see Importation of Animals, Animal Products",https://www.cdc.gov/importation
"Animal and Animal Product Importation — see Importation of Animals, Animal Products",https://www.cdc.gov/importation
Anisakiasis — seeAnisakisInfection,https://www.cdc.gov/anisakiasis/about/
AnisakisInfection,https://www.cdc.gov/anisakiasis/about/
Anthrax,https://www.cdc.gov/anthrax/about/index.html
Anthrax Vaccination,https://www.cdc.gov/anthrax/prevention/index.html
Anthrax in the Workplace,https://www.cdc.gov/niosh/anthrax/about/index.html
"Anthrax, Welder's — see Welder's Anthrax",https://www.cdc.gov/welders-anthrax/about/index.html
Anthropometry,https://www.cdc.gov/niosh/anthropometry/about/
Antibiotic Prescribing and Use,https://www.cdc.gov/antibiotic-use/
Antibiotic Resistance — see Antimicrobial Resistance,https://www.cdc.gov/antimicrobial-resistance/index.html
Antibiotic Stewardship,https://www.cdc.gov/antibiotic-use/index.html
Antimicrobial Resistance,https://www.cdc.gov/antimicrobial-resistance/index.html
Antimicrobial Stewardship — see Antibiotic Stewardship,https://www.cdc.gov/antibiotic-use/index.html
Antineoplastic Agents,https://www.cdc.gov/niosh/healthcare/risk-factors/antineoplastic-agents.html
Aortic Aneurysm,https://www.cdc.gov/heart-disease/about/aortic-aneurysm.html
Arsenic,https://emergency.cdc.gov/agent/arsenic/index.asp
Arsine,https://emergency.cdc.gov/agent/arsine/index.asp
Arthritis,https://www.cdc.gov/arthritis/
Aseptic Meningitis — see Viral Meningitis,https://www.cdc.gov/meningitis/about/viral-meningitis.html
Aspergillosis,https://www.cdc.gov/aspergillosis/index.html
AspergillusInfection — see Aspergillosis,https://www.cdc.gov/aspergillosis/index.html
"Assisted Living Facilities, Infection Prevention in — see Long-Term Care Facilities, Infection Prevention in (LTCFs)",https://www.cdc.gov/long-term-care-facilities
Assisted Reproductive Technology (ART),https://www.cdc.gov/art/about/index.html
Assurance of Confidentiality — see Certificate of Confidentiality,https://www.cdc.gov/scientific-integrity/php/protecting-privacy-confidentiality/index.html
Asthma,https://www.cdc.gov/asthma
Asthma and Influenza,https://www.cdc.gov/flu/highrisk/asthma.html
Asthma in the Workplace,https://www.cdc.gov/niosh/asthma/about/index.html
At-Risk — see Social Vulnerability Index (SVI),https://www.atsdr.cdc.gov/placeandhealth/svi/index.html
"Atrial fibrillation (AFib, AF)",https://www.cdc.gov/heart-disease/about/atrial-fibrillation.html
Attention Deficit/Hyperactivity Disorder — see ADHD,https://www.cdc.gov/adhd/
Autism,https://www.cdc.gov/autism/index.html
Autism and Thimerosal — see Thimerosal (Mercury) and Vaccines,https://www.cdc.gov/vaccine-safety/about/thimerosal.html
Avian Flu in the Workplace,https://www.cdc.gov/niosh/avian-flu/about/ 
Avian Influenza,https://www.cdc.gov/bird-flu/
B virus Infection,https://www.cdc.gov/herpes-b-virus/about/index.html
B. cepaciainfection — seeBurkholderia cepaciaInfection,https://www.cdc.gov/b-cepacia/about/index.html
BAM! Body and Mind,https://www.cdc.gov/healthy-schools/bam/teachers.htm
BAM! Healthy Schools — see Virtual Healthy Schools  (VHS),https://www.cdc.gov/healthy-schools/vhs/index.html
BabesiaInfection — see Babesiosis,https://www.cdc.gov/babesiosis/
Babesiosis,https://www.cdc.gov/babesiosis/
Babies — see Infants,https://www.cdc.gov/parents/infants/index.html
Bacillus anthracisInfection — see Anthrax,https://www.cdc.gov/anthrax/about/index.html
Bacterial Meningitis,https://www.cdc.gov/meningitis/about/bacterial-meningitis.html
Bacterial Vaginosis,https://www.cdc.gov/bacterial-vaginosis/about/index.html
Bacterial Vaginosis (BV),https://www.cdc.gov/bacterial-vaginosis/about/index.html
BalamuthiaInfection,https://www.cdc.gov/balamuthia/
Balantidiasis — seeBalantidium coliInfection,https://www.cdc.gov/balantidium/about/
Balantidium coliInfection,https://www.cdc.gov/balantidium/about/
BartonellaInfection,https://www.cdc.gov/bartonella/about/index.html
Bat Flu,https://www.cdc.gov/flu-in-animals/about/bat-flu.html
BaylisascarisInfection — see Raccoon Roundworm Infection,https://www.cdc.gov/baylisascaris/about/
Be Antibiotics Aware Partner Toolkit,https://www.cdc.gov/antibiotic-use/php/usaaw-partner-toolkit/social-media.html
Bed Bugs,https://www.cdc.gov/bed-bugs/about/index.html
Behavioral Risk Factor Surveillance System (BRFSS),https://www.cdc.gov/brfss/
Benzene,https://emergency.cdc.gov/agent/benzene/index.asp
Bilharzia — see Schistosomiasis,https://www.cdc.gov/schistosomiasis/index.html
BioSense Platform,https://www.cdc.gov/nssp/php/onboarding-resources/
Biomonitoring,https://www.cdc.gov/biomonitoring/
Bioterrorism,https://emergency.cdc.gov/bioterrorism/
Bioterrorism Agents/Diseases,https://emergency.cdc.gov/agent/agentlist.asp
Bird Flu — see Avian Influenza,https://www.cdc.gov/bird-flu/
Birth Certificates — see Vital Records,https://www.cdc.gov/nchs/w2w/index.htm
Birth Control,https://www.cdc.gov/contraception/index.html
Birth Data,https://www.cdc.gov/nchs/nvss/births.htm
Birth Defects,https://www.cdc.gov/birth-defects/index.html
Black Lung,https://www.cdc.gov/niosh/pneumoconioses/about/
Bladder Cancer,https://www.cdc.gov/bladder-cancer/about/
BlastocystisInfection, https://www.cdc.gov/blastocystis/about/index.html
Blastocystosis — seeBlastocystisInfection, https://www.cdc.gov/blastocystis/about/index.html
BlastomycesInfection — see Blastomycosis, https://www.cdc.gov/blastomycosis/
Blastomycosis, https://www.cdc.gov/blastomycosis/
Bleeding Disorders in Women,https://www.cdc.gov/female-blood-disorders/
Blood Clot — see Deep Vein Thrombosis (DVT),https://www.cdc.gov/blood-clots/index.html
Blood Pressure,https://www.cdc.gov/high-blood-pressure/
Blood Safety,https://www.cdc.gov/blood-safety/about/index.html
Body Lice,https://www.cdc.gov/lice/about/body-lice.html
Body Mass Index (BMI),https://www.cdc.gov/healthyweight/assessing/bmi/adult_BMI/english_bmi_calculator/bmi_calculator.html
Body Measurements,https://www.cdc.gov/nchs/fastats/body-measurements.htm
Border Health and Migration,https://www.cdc.gov/migration-border-health/
Borrelia burgdorferiInfection — see Lyme Disease,https://www.cdc.gov/lyme/
BorreliaRelapsing Fever Infections — see Tick and Louse-borne Relapsing Fevers,https://www.cdc.gov/relapsing-fever/about/index.html
"Borreliosis, Relapsing Fevers — see Tick and Louse-borne Relapsing Fevers",https://www.cdc.gov/relapsing-fever/about/index.html
Botswana Global HIV & TB Country Profile,https://www.cdc.gov/global-hiv-tb/php/where-we-work/botswana.html
"Bottled Water — see Water, Bottled",https://www.cdc.gov/drinking-water/about/about-bottled-water-safety.html
Botulism,https://www.cdc.gov/botulism/
Bourbon Virus Infection,https://www.cdc.gov/bourbon-virus/about/index.html
Bovine Spongiform Encephalopathy,https://www.cdc.gov/mad-cow/php/animal-health/index.html
Bovine Spongiform Encephalopathy (BSE),https://www.cdc.gov/mad-cow/php/animal-health/index.html
Brain-Eating Ameba — seeNaegleria fowleriInfection,https://www.cdc.gov/naegleria/about/index.html
Breast Cancer,https://www.cdc.gov/breast-cancer/
Breast Exam — see Mammograms,https://www.cdc.gov/breast-cancer/about/mammograms.html
Breastfeeding,https://www.cdc.gov/breastfeeding/
Bromine,https://emergency.cdc.gov/agent/bromine/
Bromobenzylcyanide (CA) — see Riot Control Agents,https://emergency.cdc.gov/agent/riotcontrol/index.asp
BrucellaInfection — see Brucellosis,https://www.cdc.gov/brucellosis/about/index.html
Brucellosis,https://www.cdc.gov/brucellosis/about/index.html
Budget,https://www.cdc.gov/budget/
Bullying,https://www.cdc.gov/youth-violence/about/about-bullying.html
"Burden of Illness, Foodborne — see Foodborne Illness Estimates",https://www.cdc.gov/foodborneburden
Burkholderia cepaciaInfection,https://www.cdc.gov/b-cepacia/about/index.html
Burkholderia pseudomalleiInfection — see Melioidosis,https://www.cdc.gov/melioidosis/about/
C. aurisinfection — seeCandida aurisinfection,https://www.cdc.gov/candida-auris/index.html
C. diff.Infection,https://www.cdc.gov/c-diff/
CASPER,https://www.cdc.gov/casper/php/overview/index.html
CDC Digital & Social Media,https://www.cdc.gov/digital-social-media-tools/index.html
CDC Drug Service — see Drug Service,https://www.cdc.gov/infectious-diseases-labs/drugservice/
CDC History — see History of CDC,https://www.cdc.gov/museum/timeline/index.html
CDC Laboratories,https://www.cdc.gov/labs/index.html
CDC Learning Connection,https://www.cdc.gov/learning-connection/php/about/
CDC Mission and Vision,https://www.cdc.gov/about/cdc/index.html
CDC Museum,https://www.cdc.gov/museum/
CDC Organization,https://www.cdc.gov/about/organization/
CDC STEM — see STEM at CDC,https://www.cdc.gov/stem/
CDC Speakers Bureau,https://www.cdc.gov/about/speakers/
CDC Surveillance Strategy — see Surveillance Strategy,https://www.cdc.gov/surveillance/index.html
CDC TV,https://www.cdc.gov/CDCTV/index.html
CDC WONDER,https://wonder.cdc.gov/
CDC and ATSDR  Ethics Program Activity — see Ethics and Compliance Activity (ECA),https://www.cdc.gov/ethics/organization/
CDC-Hubert Global Health Fellowship,https://www.cdc.gov/epi-elective/php/about/index.html
CDC-INFO,https://www.cdc.gov/cdc-info/
CDC.gov Features,https://www.cdc.gov/features/
CERC — see Crisis and Emergency Risk Communication,https://emergency.cdc.gov/cerc/index.asp
COVID-19,https://www.cdc.gov/covid/index.html
COVID-19 Vaccine Safety Reporting Systems,https://www.cdc.gov/vaccine-safety-systems/monitoring/covid-19.html
CTE,https://www.cdc.gov/traumatic-brain-injury/data-research/facts-stats/index.html
Cache Valley Virus Infection,https://www.cdc.gov/cache-valley/about/index.html
CampylobacterInfection (Campy),https://www.cdc.gov/campylobacter
Campylobacteriosis — seeCampylobacterInfection (Campy),https://www.cdc.gov/campylobacter
Cancer,https://www.cdc.gov/cancer/
Cancer Clusters,https://www.cdc.gov/cancer-environment/about/
Cancer Registries,https://www.cdc.gov/national-program-cancer-registries/index.html
Cancer Survivors,https://www.cdc.gov/cancer-survivors/
Candida aurisinfection,https://www.cdc.gov/candida-auris/index.html
Candidiasis,https://www.cdc.gov/candidiasis/index.html
Canine Flu,https://www.cdc.gov/flu-in-animals/about/canine-flu.html
Cannabis and Public Health,https://www.cdc.gov/cannabis/about/index.html
CapillariaInfection,https://www.cdc.gov/capillaria
Capillariasis — seeCapillariaInfection,https://www.cdc.gov/capillaria
Capnocytophaga infection,https://www.cdc.gov/capnocytophaga/about/index.html
Car seats — see Child Passenger Safety,https://www.cdc.gov/child-passenger-safety/about/index.html
Carbon Monoxide Poisoning,https://www.cdc.gov/carbon-monoxide/about/index.html
Cardiomyopathy,https://www.cdc.gov/heart-disease/about/cardiomyopathy.html
Caregiving,https://www.cdc.gov/caregiving/about/index.html
Cascade Testing,https://www.cdc.gov/cascade-testing/about/
Catheter-associated urinary tract infection  (CAUTI),https://www.cdc.gov/uti/hcp/clinical-safety/index.html
Center for Forecasting and Outbreak Analytics (CFA),https://www.cdc.gov/forecast-outbreak-analytics/index.html
Central Line-associated Bloodstream Infections (CLABSI),https://www.cdc.gov/clabsi/about/index.html
Cercarial Dermatitis — see Swimmer's Itch,https://www.cdc.gov/swimmers-itch/about/
Cerebral Palsy,https://www.cdc.gov/cerebral-palsy/index.html
Certificate of Confidentiality,https://www.cdc.gov/scientific-integrity/php/protecting-privacy-confidentiality/index.html
Cervical Cancer,https://www.cdc.gov/cervical-cancer/
Chagas Disease,https://www.cdc.gov/chagas/
Chapare Hemorrhagic Fever,https://www.cdc.gov/chapare/about/index.html
Chapare Hemorrhagic Fever (CHHF),https://www.cdc.gov/chapare/about/index.html
Chemical Agents,https://emergency.cdc.gov/agent/agentlistchem.asp
Chemical Protective Clothing — see Protective Clothing,https://www.cdc.gov/niosh/ppe/protective-clothing/
Chemical Safety in the Workplace,https://www.cdc.gov/niosh/chemicals/about/
Chemical Weapons Elimination,https://www.cdc.gov/chemical-weapons-elimination/index.html
Chemical and Radiological Surveillance,https://www.cdc.gov/chemical-radiological-surveillance/php/about/index.html
Chest Cold — see Acute Bronchitis,https://www.cdc.gov/acute-bronchitis/about/index.html
Chest Radiography,https://www.cdc.gov/niosh/chestradiography/
Chickenpox,https://www.cdc.gov/chickenpox/index.html
Chickenpox Vaccination,https://www.cdc.gov/chickenpox/vaccines/index.html
Chikungnya Virus Infection,https://www.cdc.gov/chikungunya/about/index.html
Child Abuse and Neglect Prevention,https://www.cdc.gov/child-abuse-neglect/about/index.html
Child Development and Public Health,https://www.cdc.gov/child-development/index.html
Child Health Statistics,https://www.cdc.gov/nchs/fastats/child-health.htm
Child Passenger Safety,https://www.cdc.gov/child-passenger-safety/about/index.html
Child Sexual Abuse,https://www.cdc.gov/child-abuse-neglect/about/about-child-sexual-abuse.html
Childhood Arthritis,https://www.cdc.gov/arthritis/childhood-arthritis/index.html
Childhood Lead Poisoning — see Lead Poisoning Prevention,https://www.cdc.gov/lead-prevention/
Childhood Obesity Prevention,https://www.cdc.gov/obesity/family-action/index.html
Children,https://www.cdc.gov/parents/children/index.html
Chlamydia,https://www.cdc.gov/chlamydia/about/index.html
Chlamydia psittaci Infection,https://www.cdc.gov/psittacosis/index.html
Chlamydia trachomatisDisease — see Chlamydia,https://www.cdc.gov/chlamydia/about/index.html
Chlamyophila pneumoniaeInfection,https://www.cdc.gov/cpneumoniae/index.html
Chlorine,https://emergency.cdc.gov/agent/chlorine/index.asp
Chloroacetophenone (CN) — see Riot Control Agents,https://emergency.cdc.gov/agent/riotcontrol/index.asp
Chlorobenzylidenemalononitrile (CS) — see Riot Control Agents,https://emergency.cdc.gov/agent/riotcontrol/index.asp
Chloropicrin (PS) — see Riot Control Agents,https://emergency.cdc.gov/agent/riotcontrol/index.asp
Cholera,https://www.cdc.gov/cholera/
Cholesterol,https://www.cdc.gov/cholesterol/
Chronic Disease Indicators  (CDI),https://www.cdc.gov/cdi/
Chronic Fatigue Syndrome — see Myalgic Encephalomyelitis/ Chronic Fatigue Syndrome (ME/CFS),https://www.cdc.gov/me-cfs/about/index.html
Chronic Kidney Disease — see Kidney Disease (CKD),https://www.cdc.gov/kidney-disease/index.html
Chronic Obstructive Pulmonary Disease (COPD),https://www.cdc.gov/copd/about/index.html
Chronic Symptoms Following Infections,https://www.cdc.gov/chronic-symptoms-following-infections/about/index.html
Chronic Traumatic Encephalopathy — see CTE,https://www.cdc.gov/traumatic-brain-injury/data-research/facts-stats/index.html
Chronic Wasting Disease,https://www.cdc.gov/chronic-wasting/about/index.html
Chronic Wasting Disease (CWD),https://www.cdc.gov/chronic-wasting/about/index.html
Ciguatoxin — see Harmful Algal Bloom (HAB)-Associated Illness,https://www.cdc.gov/harmful-algal-blooms-data/index.html
Cimex lectularius— see Bed Bugs,https://www.cdc.gov/bed-bugs/about/index.html
Classic Creutzfeldt-Jakob Disease,https://www.cdc.gov/creutzfeldt-jakob/about/index.html
Classic Creutzfeldt-Jakob Disease (CJD),https://www.cdc.gov/creutzfeldt-jakob/about/index.html
Clean Hands,https://www.cdc.gov/clean-hands/about/index.html
Cleaning and Custodial Services,https://www.cdc.gov/niosh/cleaning-custodial-services/about/
Clear Communication Index,https://www.cdc.gov/ccindex/index.html
Climate and Health,https://www.cdc.gov/climate-health/
Clinical Growth Charts,https://www.cdc.gov/growthcharts/index.htm
Clinical Immunization Safety Assessment Network (CISA),https://www.cdc.gov/vaccine-safety-systems/hcp/cisa/index.html
Clinical Laboratory Improvement Advisory Committee (CLIAC),https://www.cdc.gov/faca/committees/cliac.html
Clinical Laboratory Improvement Amendments (CLIA),https://wwwn.cdc.gov/clia/default.aspx
Clinical Laboratory Integration into Healthcare Collaborative (CLIHC™),https://www.cdc.gov/ophss/csels/dlpss/eblm/index.html
Clinician Outreach and Communication Activity (COCA),https://emergency.cdc.gov/coca/
Clonorchiasis — see Liver Flukes,https://www.cdc.gov/liver-flukes/about/index.html
ClonorchisInfection — see Liver Flukes,https://www.cdc.gov/liver-flukes/about/index.html
Clostridioides difficileInfection — seeC. diff.Infection,https://www.cdc.gov/c-diff/
Clostridium botulinumInfection — see Botulism,https://www.cdc.gov/botulism/
Clostridium perfringensFood Poisoning,https://www.cdc.gov/clostridium-perfringens/about/index.html
Clostridium sordelliiInfection,https://www.cdc.gov/c-sordellii/about/index.html
Coccidioidomycosis — see Valley Fever,https://www.cdc.gov/valley-fever/index.html
Cold Stress,https://www.cdc.gov/niosh/cold-stress/about/index.html
Cold Versus Flu,https://www.cdc.gov/flu/about/coldflu.html
Colorado Tick Fever (CTF),https://www.cdc.gov/colorado-tick-fever/about/
Colorectal (Colon) Cancer,https://www.cdc.gov/colorectal-cancer/
Colorectal Cancer Control Program (CRCCP),https://www.cdc.gov/colorectal-cancer-control/
Common Cold,https://www.cdc.gov/common-cold/about/index.html
"Community Guide, The",https://www.thecommunityguide.org/
Community Health Worker Resources,https://www.cdc.gov/chronic-disease/php/community-health-worker-resources/index.html
Community Violence,https://www.cdc.gov/community-violence/site.html
Comprehensive Cancer Control,https://www.cdc.gov/comprehensive-cancer-control/
Congenital Defects — see Birth Defects,https://www.cdc.gov/birth-defects/index.html
Congenital Heart Defects,https://www.cdc.gov/heart-defects/
Congenital Heart Defects (CHDs),https://www.cdc.gov/heart-defects/
Conjunctivitis — see Pink Eye,https://www.cdc.gov/conjunctivitis/index.html
Construction,https://www.cdc.gov/niosh/construction/site.html
Contact Lenses,https://www.cdc.gov/contact-lenses/about/index.html
Contraception — see Birth Control,https://www.cdc.gov/contraception/index.html
Contracts,https://www.cdc.gov/contracts/
Control Banding,https://www.cdc.gov/niosh/control-banding/data-research/
Core State Injury Prevention Program (Core SIPP),https://www.cdc.gov/injury-core-sipp/php/about/index.html
Coronavirus,https://www.cdc.gov/covid/index.html
Coronavirus (CoV),https://www.cdc.gov/covid/index.html
Correctional Health,https://www.cdc.gov/correctional-health/about/
Correctional Workers Safety,https://www.cdc.gov/niosh/corrections/about/index.html
Coxiella burnetiiInfection — see Q Fever,https://www.cdc.gov/q-fever
Crimean-Congo hemorrhagic fever,https://www.cdc.gov/crimean-congo-hemorrhagic/about/
Crimean-Congo hemorrhagic fever (CCHF),https://www.cdc.gov/crimean-congo-hemorrhagic/about/
Crisis and Emergency Risk Communication,https://emergency.cdc.gov/cerc/index.asp
CronobacterInfection,https://www.cdc.gov/cronobacter/about/index.html
Cruise Ship Sanitation,https://www.cdc.gov/vessel-sanitation/about/index.html
Cryptococcosis,https://www.cdc.gov/cryptococcosis/
Cryptosporidiosis — seeCryptosporidiumInfection (Crypto),https://www.cdc.gov/cryptosporidium/
CryptosporidiumInfection (Crypto),https://www.cdc.gov/cryptosporidium/
Cutaneous Larva Migrans (CLM) — see Zoonotic Hookworm,https://www.cdc.gov/zoonotic-hookworm/about/index.html
Cyanide,https://emergency.cdc.gov/agent/cyanide/index.asp
Cyanobacterial algal bloom-associated illness — see Harmful Algal Bloom (HAB)-Associated Illness (HAB),https://www.cdc.gov/harmful-algal-blooms/about/index.html
Cyanogen chloride — see Cyanide,https://emergency.cdc.gov/agent/cyanide/index.asp
CyclosporaInfection,https://www.cdc.gov/cyclosporiasis/
Cyclosporiasis — seeCyclosporaInfection,https://www.cdc.gov/cyclosporiasis/
Cystic Fibrosis,https://www.cdc.gov/cystic-fibrosis/about/
Cysticercosis,https://www.cdc.gov/cysticercosis/about/
CystoisosporaInfection — see Cystoisosporiasis,https://www.cdc.gov/cystoisospora/about/
Cystoisosporiasis,https://www.cdc.gov/cystoisospora/about/
Cytomegalovirus Infection (CMV),https://www.cdc.gov/cytomegalovirus/about/index.html
Death Certificates — see Vital Records,https://www.cdc.gov/nchs/w2w/index.htm
Death Data — see Mortality Data,https://www.cdc.gov/nchs/nvss/marriage-divorce.htm
"Death, Leading Causes of Death in Females",https://www.cdc.gov/nchs/fastats/womens-health.htm
Deep Vein Thrombosis (DVT),https://www.cdc.gov/blood-clots/index.html
Dengue,https://www.cdc.gov/dengue
Dental Infection Prevention and Control,https://www.cdc.gov/dental-infection-control/hcp/index.html
Developmental Disabilities,https://www.cdc.gov/child-development/about/developmental-disability-basics.html
Developmental Milestones,https://www.cdc.gov/ncbddd/actearly/index.html
Developmental Screening,https://www.cdc.gov/child-development/index.html
Diabetes,https://www.cdc.gov/diabetes/index.html
Diabetes and Influenza,https://www.cdc.gov/flu/highrisk/diabetes.html
Diagnosing Hemophilia,https://www.cdc.gov/hemophilia/testing/index.html
Dialysis Safety,https://www.cdc.gov/dialysis-safety/about/index.html
Dibenzoxazepine (CR) — see Riot Control Agents,https://emergency.cdc.gov/agent/riotcontrol/index.asp
Dientamoeba fragilisInfection,https://www.cdc.gov/dientamoeba/about/
Digital & Social Media,https://www.cdc.gov/digital-social-media-tools/index.html
Diphtheria,https://www.cdc.gov/diphtheria/
Diphtheria Vaccination,https://www.cdc.gov/diphtheria/vaccines/index.html
"Diphtheria Vaccination (DTaP,TDaP)",https://www.cdc.gov/diphtheria/vaccines/index.html
Diphyllobothriasis — seeDiphyllobothriumInfection,https://www.cdc.gov/diphyllobothrium/about/index.html
DiphyllobothriumInfection,https://www.cdc.gov/diphyllobothrium/about/index.html
"Director, CDC",https://www.cdc.gov/about/leadership/director.html
Dirofilariasis,https://www.cdc.gov/dirofilariasis/about/index.html
Disabilities and Health,https://www.cdc.gov/disability-and-health/index.html
Disaster Epidemiology and Response,https://www.cdc.gov/disaster-epidemiology-and-response/php/disaster/index.html
Disaster Science Research — see Disaster Science Responder Research Program,https://www.cdc.gov/niosh/emres/programs/index.html
Disaster Science Responder Research Program,https://www.cdc.gov/niosh/emres/programs/index.html
Disaster Science — see Disaster Science Responder Research Program,https://www.cdc.gov/niosh/emres/programs/index.html
Disasters and Children,https://www.cdc.gov/disasters-and-children/index.html
Disasters and Mental Health — see Mental Health and Disasters,https://emergency.cdc.gov/coping/index.asp
Distracted Driving,https://www.cdc.gov/distracted-driving/about/index.html
Dog Heartworm Infection — see Dirofilariasis,https://www.cdc.gov/dirofilariasis/about/index.html
Dog Importation,https://www.cdc.gov/importation/dogs/index.html
Dog and Cat Tapeworm,https://www.cdc.gov/dipylidium/about/index.html
Dog-Related Diseases,https://www.cdc.gov/healthy-pets/about/dogs.html
Domestic Violence — see Intimate Partner Violence,https://www.cdc.gov/intimate-partner-violence/about/index.html
Down Syndrome,https://www.cdc.gov/birth-defects/living-with-down-syndrome/index.html
Dracunculiasis — see Guinea Worm Disease,https://www.cdc.gov/guinea-worm/about/
Dracunculus medinensisInfection,https://www.cdc.gov/guinea-worm/about/
Drinking & Driving,https://www.cdc.gov/impaired-driving/about/index.html#
Drinking Water Quality,https://www.cdc.gov/drinking-water/
Drinking Water Quality — see Drinking Water Quality,https://www.cdc.gov/drinking-water/
"Drinking Water — see Water, Drinking",https://www.cdc.gov/drinking-water/index.html
Drought and Health,https://www.cdc.gov/drought-health/about/index.html
Drowning Prevention,https://www.cdc.gov/drowning/about/index.html
Drug Service,https://www.cdc.gov/infectious-diseases-labs/drugservice/
Drug Use and Infectious Disease — see Persons Who Use Drugs,https://www.cdc.gov/persons-who-inject-drugs/about/
Drug Users — see Persons Who Use Drugs,https://www.cdc.gov/persons-who-inject-drugs/about/
Drug-Resistant Tuberculosis,https://www.cdc.gov/tb/about/drug-resistant.html
Dwarf Tapeworm — see Hymenolepiasis,https://www.cdc.gov/hymenolepis/about/
E-cigarettes (e-cigs),https://www.cdc.gov/tobacco/e-cigarettes/index.html
E-cigs — see E-cigarettes (e-cigs),https://www.cdc.gov/tobacco/e-cigarettes/index.html
E-learning Institute Fellowship (ELI),https://www.cdc.gov/elearning-institute/index.html
E. coliInfection,https://www.cdc.gov/ecoli/about/index.html
EBV Infection — see Epstein-Barr Virus (EBV),https://www.cdc.gov/epstein-barr/about/index.html
